question,category
"When will my order be delivered?","Shipping, Order Management"
"How do I return an item that doesn't fit?","Returns, Product Information"
"Is this product available in blue?","Product Information"
"My discount code isn't working. What should I do?","Promotions, Technical Support"
"Can I change my shipping address after placing an order?","Order Management, Shipping"
"How do I track my package?","Shipping, Order Management"
"Are your products cruelty-free?","Product Information"
"I received a damaged item. What are the next steps?","Returns, Order Management"
"Do you offer international shipping?","Shipping, Product Information"
"How can I cancel my subscription?","Order Management"
"What's your refund policy for sale items?","Returns, Promotions"
"Is it possible to expedite my order?","Shipping, Order Management"
"How do I reset my password?","Technical Support"
"Do you have a size guide for clothing?","Product Information"
"Can I combine multiple promotional codes?","Promotions, Technical Support"
"I'm having trouble uploading my product review. Is there a file size limit for photos?","Technical Support, Product Information"
"I ordered a gift and forgot to include a gift message. Can I add one now?","Order Management"
"I'm allergic to certain materials. Can you provide detailed fabric composition information?","Product Information"
"I've noticed that the price of an item I purchased last week has now decreased. Do you offer price adjustments?","Promotions, Order Management"
"How can I ensure I'm subscribed to your newsletter?","Technical Support, Promotions"
"Do you offer wholesale prices for bulk orders?","Product Information, Promotions"
"I accidentally created two accounts. Can these be merged?","Technical Support, Order Management"
"The 'Add to Cart' button isn't working on your website. Is there a known issue?","Technical Support"
"Do you price match with other retailers?","Promotions, Product Information"
"Can I schedule a specific delivery time for my order?","Shipping, Order Management"
"How do I apply for your loyalty program?","Promotions, Order Management"
"What's the difference between your standard and premium product lines?","Product Information"
"I received the wrong item in my order. How do I get this corrected?","Returns, Order Management"
"Is it safe to save my payment information on your website?","Technical Support, Order Management"
"Do you offer gift wrapping services?","Product Information, Order Management"